"PVWatts: Hourly PV Performance Data"
"Requested Location:","7393 elyria road medina ohio"
"Location:","CLEVELAND, OH"
"Lat (deg N):","41.4"
"Long (deg W):","81.85"
"Elev (m):","245"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.07"
"Initial Cost","3.30"
"Cost of Electricity Generated by System ($/kWh):","0.22"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"11","10","20","0","0","10","5.2","0","10","0","0"
"11","10","21","0","0","10","3.6","0","10","0","0"
"11","10","22","0","0","10.6","3.6","0","10.6","0","0"
"11","10","23","0","0","10","3.6","0","10","0","0"
"11","11","0","0","0","11.1","5.2","0","11.1","0","0"
"11","11","1","0","0","12.2","4.6","0","12.2","0","0"
"11","11","2","0","0","11.1","4.1","0","11.1","0","0"
"11","11","3","0","0","12.2","6.2","0","12.2","0","0"
"11","11","4","0","0","12.8","7.2","0","12.8","0","0"
"11","11","5","0","0","13.3","7.7","0","13.3","0","0"
"11","11","6","0","0","13.3","8.2","0","13.3","0","0"
"11","11","7","1","22","13.3","7.2","21.645","12.554","78.588","54.886"
"11","11","8","0","85","13.3","6.7","86.999","13.622","315.281","286.925"
"11","11","9","3","163","13.3","6.2","169.866","15.155","611.167","576.321"
"11","11","10","1","229","13.9","6.7","238.31","16.902","850.954","810.302"
"11","11","11","2","253","13.9","7.2","262.909","17.227","937.407","894.541"
"11","11","12","1","145","12.8","7.7","142.698","14.17","515.848","483.174"
"11","11","13","1","135","11.1","6.2","132.82","12.361","484.016","452.05"
"11","11","14","1","105","10.6","6.2","102.747","11.322","376.118","346.488"
"11","11","15","1","70","10","7.7","68.241","10.063","251.115","224.068"
"11","11","16","0","29","10","6.7","27.808","9.364","102.69","78.536"
"11","11","17","0","2","10","5.7","1.94","8.769","7.182","0"
"11","11","18","0","0","10","5.2","0","10","0","0"
"11","11","19","0","0","10","5.7","0","10","0","0"
"11","11","20","0","0","10","4.1","0","10","0","0"
"11","11","21","0","0","8.9","3.1","0","8.9","0","0"
"11","11","22","0","0","8.3","3.1","0","8.3","0","0"
"11","11","23","0","0","8.3","3.1","0","8.3","0","0"
"11","12","0","0","0","8.3","3.1","0","8.3","0","0"
"11","12","1","0","0","7.8","3.1","0","7.8","0","0"
"11","12","2","0","0","7.8","3.6","0","7.8","0","0"
"11","12","3","0","0","7.2","4.1","0","7.2","0","0"
"11","12","4","0","0","7.2","2.6","0","7.2","0","0"
"11","12","5","0","0","6.7","2.6","0","6.7","0","0"
